,Max virus (increase),Max Virus (decrease),Max dead cells (increase),Max dead cells (decrease),Min tissue (increase),Min tissue (decrease),Max inflam. macs (increase),Max inflam. macs (decrease),Max T cells (increase),Max T cells (decrease),Max IL-6 (increase),Max IL-6 (decreased),Max IFN I (increased),Max IFN I (decreased),IFN I exposure (increase),IFN I exposure (decrease)
k_lin_C,0.016166894,-0.015438689,0.000249653,0.000168137,1.28E-05,-6.82E-06,0.003201912,-0.003172602,0.004818477,-0.005124356,0.002938748,-0.002915763,0.000394508,-0.000394489,-0.002846889,0.001550363
k_int_C,0.050913501,-0.049615548,0.001971658,-0.00195865,0.000308915,-0.000286281,0.014195442,-0.014559565,0.005521354,-0.006085808,0.012896475,-0.013253143,0.001658663,-0.001744066,0.018018292,-0.015793429
k_B_C,-0.065872343,0.075486716,-0.002603122,0.002901607,-0.000374495,0.000459886,-0.019495921,0.020786365,-0.008252575,0.007959031,-0.017749923,0.018881346,-0.002345495,0.002415491,-0.006853912,0.006111684
k_U_C,0.02019419,-0.019987075,0.000788224,-0.000786824,0.000121434,-0.000117827,0.005717581,-0.005775728,0.002270733,-0.002360733,0.00519736,-0.005254669,0.000673178,-0.000686554,0.007200783,-0.006768757
R_C_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MM_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F_U_0,-9.32E-06,9.32E-06,-1.13E-05,1.13E-05,8.94E-06,-8.94E-06,-6.79E-06,6.80E-06,-8.05E-06,8.05E-06,-6.26E-06,6.26E-06,-1.40E-06,1.40E-06,4.50E-05,-4.50E-05
F_B_0,-6.96E-08,6.96E-08,-8.41E-08,8.41E-08,6.45E-08,-6.45E-08,-5.04E-08,5.04E-08,-6.02E-08,6.02E-08,-4.65E-08,4.65E-08,-1.04E-08,1.04E-08,-1.06E-08,1.06E-08
p_F_I,-0.004846626,0.004973383,-0.005592142,0.005752444,0.005897606,-0.006056313,-0.003088581,0.003160723,-0.002676858,0.002770329,-0.002858073,0.002921485,0.037269166,-0.037296454,0.041789762,-0.041801399
eta_F_I,0.000793925,-0.000807313,0.000881349,-0.000895582,-0.000920056,0.000934549,0.00052919,-0.000538793,0.000184098,-0.000179556,0.000488541,-0.000497417,-0.004017632,0.004067168,-0.018264672,0.019483996
p_F_MPhi,-0.001498987,0.001511254,-0.001811761,0.001827907,0.001827983,-0.001843484,-0.000950003,0.00095745,-0.001182837,0.001193667,-0.00087927,0.00088522,0.011754609,-0.011761253,0.005374378,-0.005386229
eta_F_MPhi,0.000652797,-0.000680744,0.000756372,-0.000786334,-0.000784475,0.000817388,0.000421118,-0.000439712,0.000437404,-0.000449408,0.000389145,-0.000406334,-0.004490002,0.004669455,-0.003074548,0.003270406
